longitude,latitude,id,group,type,name
-73.9078624,40.7030612,5531185014,2303,cafe,#1 Natural Juice Bar
-73.9091592,40.7035131,5531214552,2302,fast_food,Lin's Garden
-73.3229059,40.6972078,5531249571,2303,cafe,Juice N Blendz
-73.319481,40.6980767,5531357170,2302,fast_food,Domino's Pizza
-74.0010744,40.7185828,5532127441,2302,fast_food,McDonald's
-73.8845596,40.7474518,5532266298,2501,supermarket,5 de Mayo
-73.9151121,40.7052219,5534447352,2302,fast_food,Sicily's Best Pizza
-73.9134977,40.7042758,5534469364,2516,butcher,Melinda's Halal Meat Market
-73.9791653,40.6785782,5534565419,2302,fast_food,China Tung
-73.9776937,40.6713257,5536589906,2302,fast_food,Pino's La Forchetta
-73.9336019,40.5966077,5537012521,2302,fast_food,Dunkin' Donuts
-73.980678,40.6889804,5538367713,2302,fast_food,McDonald's
-73.9809019,40.6893231,5538367714,2303,cafe,Starbucks
-73.7036567,40.6447759,5538738308,2303,cafe,Starbucks
-73.7040283,40.6448651,5538738638,2516,butcher,Kosher Meats
-73.7382068,40.6291847,5538738700,2302,fast_food,Boston Market
-73.7826584,40.7289266,5538876109,2501,supermarket,A to Z Glatt Kosher Supermarket
-73.9618785,40.8003129,5539074684,2303,cafe,Demitasse Cafe
-73.959348,40.8012559,5539074685,2303,cafe,Starbucks
-74.081817,40.5983618,5540197483,2501,supermarket,Shop N Save
-73.7613082,42.6486122,5541406657,2303,cafe,Steuben Street Cafe
-73.9140057,40.6994051,5541522600,2303,cafe,Mixtape Bushwick
-73.9115909,40.6997235,5542949156,2302,fast_food,Mexican Food Cart
-73.9107729,40.6999541,5542952316,2303,cafe,Joel's Bakery
-73.9112732,40.6998162,5542976159,2303,cafe,Starbucks
-73.9114,40.7001503,5542986456,2303,cafe,Tbaar
-73.9106675,40.8376792,5543332789,2302,fast_food,Kennedy Fried Chicken & Pizza
-73.9132098,40.8383254,5543332791,2501,supermarket,Bravo
-73.912713,40.8381361,5543332793,2302,fast_food,Kennedy Fried Chicken & Pizza
-73.9114156,40.6998913,5543428167,2302,fast_food,Dunkin'
-73.9136509,40.699453,5543458398,2302,fast_food,Merinda's Deli & Grill
-73.987549,40.7210704,5544177806,2302,fast_food,99¢ Fresh Slice
-73.9874657,40.7210507,5544177807,2302,fast_food,San Loco
-73.8765442,40.8261829,5546399561,2302,fast_food,Kennedy Fried Chicken & Pizza
-73.8761976,40.8291989,5546399872,2501,supermarket,Associated
-73.8755907,40.8265459,5546400652,2302,fast_food,Lucky Garden
-73.8780463,40.8284317,5546420105,2302,fast_food,McDonald's
-73.7347627,40.6648823,5546523253,2302,fast_food,Dunkin' Donuts
-73.9796398,40.6773894,5546523255,2302,fast_food,Bowl & Blade
-73.9140013,40.7567911,5546547985,2501,supermarket,Vitality Health
-77.6846205,43.2084261,5547066444,2302,fast_food,Chick-fil-A
-73.8666658,40.8316069,5548929082,2501,supermarket,
-73.8664653,40.8316735,5548933676,2302,fast_food,Kennedy Fried Chicken
-73.8639673,40.8327142,5548940330,2303,cafe,Isla Cafe
-73.8608265,40.832515,5548940573,2501,supermarket,C Town
-74.0089327,40.7139689,5549105921,2302,fast_food,Dunkin'
-73.9796531,40.6778577,5549150574,2303,cafe,Everyman Espresso
-73.9770846,40.6811596,5549150576,2303,cafe,Blue Sky Bakery
